Const. No.,Constituency,Leading Candidate,Leading Party,Margin,Party Category,Status,Trailing Candidate,Trailing Party
41,Latur,DR. KALGE SHIVAJI BANDAPPA,Indian National Congress,61881,INC,Result Declared,SUDHAKAR TUKARAM SHRANGARE,Bharatiya Janata Party
42,Birbhum,SATABDI ROY,All India Trinamool Congress,197650,Other,Result Declared,DEBTANU BHATTACHARYA,Bharatiya Janata Party
42,Kannauj,AKHILESH YADAV,Samajwadi Party,170922,Other,Result Declared,SUBRAT PATHAK,Bharatiya Janata Party
42,Solapur,PRANITI SUSHILKUMAR SHINDE,Indian National Congress,74197,INC,Result Declared,RAM VITTHAL SATPUTE,Bharatiya Janata Party
43,Kanpur,RAMESH AWASTHI,Bharatiya Janata Party,20968,BJP,Result Declared,ALOK MISRA,Indian National Congress
43,Madha,MOHITE-PATIL DHAIRYASHEEL RAJSINH,Nationalist Congress Party – Sharadchandra Pawar,120837,Other,Result Declared,RANJEETSINGH HINDURAO NAIK NIMBALKAR,Bharatiya Janata Party
44,Akbarpur,DEVENDRA SINGH ALIAS BHOLE SINGH,Bharatiya Janata Party,44345,BJP,Result Declared,RAJARAM PAL,Samajwadi Party
44,Sangli,VISHAL (DADA) PRAKASHBAPU PATIL,Independent,100053,Other,Result Declared,SANJAY (KAKA) PATIL,Bharatiya Janata Party
45,Jalaun,NARAYAN DAS AHIRWAR,Samajwadi Party,53898,Other,Result Declared,BHANU PRATAP SINGH VERMA,Bharatiya Janata Party
45,Satara,SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE,Bharatiya Janata Party,32771,BJP,Result Declared,SHASHIKANT JAYVANTRAO SHINDE,Nationalist Congress Party – Sharadchandra Pawar
46,Jhansi,ANURAG SHARMA,Bharatiya Janata Party,102614,BJP,Result Declared,"PRADEEP JAIN ""ADITYA""",Indian National Congress
46,Ratnagiri- Sindhudurg,NARAYAN TATU RANE,Bharatiya Janata Party,47858,BJP,Result Declared,VINAYAK BHAURAO RAUT,Shiv Sena (Uddhav Balasaheb Thackrey)
47,HAMIRPUR,AJENDRA SINGH LODHI,Samajwadi Party,2629,Other,Result Declared,KUNWAR PUSHPENDRA SINGH CHANDEL,Bharatiya Janata Party
47,Kolhapur,CHHATRAPATI SHAHU SHAHAJI,Indian National Congress,154964,INC,Result Declared,SANJAY SADASHIVRAO MANDLIK,Shiv Sena
48,Banda,KRISHNA DEVI SHIVSHANKER PATEL,Samajwadi Party,71210,Other,Result Declared,R. K. SINGH PATEL,Bharatiya Janata Party
48,Hatkanangale,DHAIRYASHEEL SAMBHAJIRAO MANE,Shiv Sena,13426,Other,Result Declared,SATYAJEET BABASAHEB PATIL (AABA) SARUDKAR,Shiv Sena (Uddhav Balasaheb Thackrey)
49,Fatehpur,NARESH CHANDRA UTTAM PATEL,Samajwadi Party,33199,Other,Result Declared,NIRANJAN JYOTI,Bharatiya Janata Party
50,Kaushambi,PUSHPENDRA SAROJ,Samajwadi Party,103944,Other,Result Declared,VINOD KUMAR SONKAR,Bharatiya Janata Party
51,Phulpur,PRAVEEN PATEL,Bharatiya Janata Party,4332,BJP,Result Declared,AMAR NATH SINGH MAURYA,Samajwadi Party
52,Allahabad,UJJWAL RAMAN SINGH,Indian National Congress,58795,INC,Result Declared,NEERAJ TRIPATHI,Bharatiya Janata Party
53,Barabanki,TANUJ PUNIA,Indian National Congress,215704,INC,Result Declared,RAJRANI RAWAT,Bharatiya Janata Party
54,Faizabad,AWADHESH PRASAD,Samajwadi Party,54567,Other,Result Declared,LALLU SINGH,Bharatiya Janata Party
55,Ambedkar Nagar,LALJI VERMA,Samajwadi Party,137247,Other,Result Declared,RITESH PANDEY,Bharatiya Janata Party
56,Baharaich,ANAND KUMAR,Bharatiya Janata Party,64227,BJP,Result Declared,RAMESH CHANDRA,Samajwadi Party
57,Kaiserganj,KARAN BHUSHAN SINGH,Bharatiya Janata Party,148843,BJP,Result Declared,BHAGAT RAM,Samajwadi Party
58,Shrawasti,RAM SHIROMANI VERMA,Samajwadi Party,76673,Other,Result Declared,SAKET MISRA,Bharatiya Janata Party
59,Gonda,KIRTIVARDHAN SINGH,Bharatiya Janata Party,46224,BJP,Result Declared,SHREYA VERMA,Samajwadi Party
60,Domariyaganj,JAGDAMBIKA PAL,Bharatiya Janata Party,42728,BJP,Result Declared,BHISHMA SHANKAR ALIAS KUSHAL TIWARI,Samajwadi Party
61,Basti,RAM PRASAD CHAUDHARY,Samajwadi Party,100994,Other,Result Declared,HARISH CHANDRA ALIAS HARISH DWIVEDI,Bharatiya Janata Party
62,Sant Kabir Nagar,LAXMIKANT PAPPU NISHAD,Samajwadi Party,92170,Other,Result Declared,PRAVIN KUMAR NISHAD,Bharatiya Janata Party
63,Maharajganj,PANKAJ CHAUDHARY,Bharatiya Janata Party,35451,BJP,Result Declared,VIRENDRA CHAUDHARY,Indian National Congress
64,Gorakhpur,RAVINDRA SHUKLA ALIAS RAVI KISHAN,Bharatiya Janata Party,103526,BJP,Result Declared,KAJAL NISHAD,Samajwadi Party
65,Kushi Nagar,VIJAY KUMAR DUBAY,Bharatiya Janata Party,81790,BJP,Result Declared,AJAY PRATAP SINGH URF PINTU SAITHWAR,Samajwadi Party
66,Deoria,SHASHANK MANI,Bharatiya Janata Party,34842,BJP,Result Declared,AKHILESH PRATAP SINGH,Indian National Congress
67,Bansgaon,KAMLESH PASWAN,Bharatiya Janata Party,3150,BJP,Result Declared,SADAL PRASAD,Indian National Congress
68,Lalganj,DAROGA PRASAD SAROJ,Samajwadi Party,115023,Other,Result Declared,NEELAM SONKER,Bharatiya Janata Party
69,Azamgarh,DHARMENDRA YADAV,Samajwadi Party,161035,Other,Result Declared,DINESH LAL YADAV “NIRAHUA”,Bharatiya Janata Party
70,Ghosi,RAJEEV RAI,Samajwadi Party,162943,Other,Result Declared,DR. ARVIND RAJBHAR,Suheldev Bharatiya Samaj Party
71,Salempur,RAMASHANKAR RAJBHAR,Samajwadi Party,3573,Other,Result Declared,RAVINDAR KUSHAWAHA,Bharatiya Janata Party
72,Ballia,SANATAN PANDEY,Samajwadi Party,43384,Other,Result Declared,NEERAJ SHEKHAR,Bharatiya Janata Party
73,Jaunpur,BABU SINGH KUSHWAHA,Samajwadi Party,99335,Other,Result Declared,KRIPASHANKAR SINGH,Bharatiya Janata Party
